-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                              aten::neg         0.81%      22.955ms         1.24%      35.051ms      14.605us       4.592ms         1.24%       4.597ms       1.916us           0 B           0 B      98.55 MB      98.55 MB          2400
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.389ms         1.19%       4.389ms       1.988us           0 B           0 B           0 B           0 B          2208
                nvjet_sm90_tst_128x72_64x8_2x4_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       3.477ms         0.94%       3.477ms      36.219us           0 B           0 B           0 B           0 B            96
                 nvjet_sm90_tst_64x8_64x16_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       3.336ms         0.90%       3.336ms      17.376us           0 B           0 B           0 B           0 B           192
                                            aten::where         1.09%      30.759ms         3.58%     100.776ms      40.310us       2.784ms         0.75%       6.532ms       2.613us           0 B           0 B      67.28 MB    -625.00 KB          2500
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.697ms         0.73%       2.697ms       2.247us           0 B           0 B           0 B           0 B          1200
                                             aten::mul_         0.22%       6.286ms         0.40%      11.335ms       9.445us       2.553ms         0.69%       2.553ms       2.127us           0 B           0 B           0 B           0 B          1200
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.351ms         0.64%       2.351ms       1.470us           0 B           0 B           0 B           0 B          1600
                                            aten::fill_         0.38%      10.658ms         0.86%      24.098ms       8.095us       2.306ms         0.62%       2.308ms       0.775us           0 B           0 B           0 B           0 B          2977
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.978ms         0.53%       1.978ms       0.768us           0 B           0 B           0 B           0 B          2576
                                             aten::gelu         0.38%      10.691ms         0.60%      16.823ms      14.019us       1.781ms         0.48%       1.787ms       1.489us           0 B           0 B     435.94 MB     435.94 MB          1200
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.781ms         0.48%       1.781ms       1.484us           0 B           0 B           0 B           0 B          1200
                                  Lazy Function Loading         0.11%       3.011ms         0.11%       3.011ms      28.139us       1.292ms         0.35%       1.292ms      12.077us           0 B           0 B           0 B           0 B           107
cudnn_generated_fort_native_sdpa_sm90_flash_fprop_wg...         0.00%       0.000us         0.00%       0.000us       0.000us       1.116ms         0.30%       1.116ms      27.890us           0 B           0 B           0 B           0 B            40
                nvjet_sm90_tst_64x72_64x12_1x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     896.510us         0.24%     896.510us      11.206us           0 B           0 B           0 B           0 B            80
                nvjet_sm90_tst_64x144_64x8_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     732.035us         0.20%     732.035us      18.301us           0 B           0 B           0 B           0 B            40
                                            aten::index         0.11%       3.006ms         0.23%       6.408ms      42.721us     432.615us         0.12%     553.798us       3.692us           0 B           0 B     179.00 KB     -76.00 KB           150
                                      aten::bitwise_and         0.05%       1.271ms         0.08%       2.316ms      10.249us     337.446us         0.09%     342.277us       1.514us           0 B           0 B     749.00 KB     749.00 KB           226
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 2.818s
Self CUDA time total: 369.764ms
